Player,Role,Position,Foot,Height,Weight,Birth,Nationality,Club,Wage,Expiration,PSxG-GA,GoalsAgainst,SavePercentage,PSxG/SoT,Save%(PenaltyKicks),CleanSheetPercentage,Touches,Launch%,GoalKicks,Avg.LengthofGoalKicks,CrossesStopped%,Def.ActionsOutsidePen.Area,Avg.DistanceofDef.Actions,Non-PenaltyGoals,npxG:Non-PenaltyxG,ShotsTotal,Assists,xAG:Exp.AssistedGoals,npxG+xAG,Shot-CreatingActions,PassesAttempted,PassCompletion%,ProgressivePasses,ProgressiveCarries,SuccessfulTake-Ons,Touches(AttPen),ProgressivePassesRec,Tackles,Interceptions,Blocks,Clearances,AerialsWon,2020-2021,2021-2022,2022-2023,2023-2024,4Seasons*,2019-2020,2024-2025,2025-2026,5Seasons*
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexandre Olliero,GK,,Right,193cm,84kg,"February 15, 1996",France,Reims,"6,154",2026.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guillaume Restes,GK,,Left,186cm,82kg,"March 11, 2005",France,Toulouse,"12,308",2028.0,0.0,1.32,71.1,0.29,0.0,23.7,31.21,29.3,6.29,41.6,1.4,0.45,11.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rasmus Nicolaisen,DF,"(CB,",Left,190cm,81kg,"March 16, 1997",Denmark,Toulouse,"10,577",2025.0,,,,,,,,,,,,,,0.05,0.05,0.67,0.0,0.03,0.07,0.48,51.84,84.8,2.89,0.17,0.14,1.32,0.31,1.39,1.32,1.51,5.15,3.73,,,,,,,,,
Logan Costa,DF,"(CB,",Right,189cm,87kg,"April 1, 2001",Cape,Toulouse,"8,654",2026.0,,,,,,,,,,,,,,0.03,0.05,0.51,0.03,0.02,0.07,0.85,56.98,82.4,4.21,0.59,0.2,1.04,0.4,1.55,0.76,1.44,4.37,1.98,,,,,,,,,
Thijs Dallinga,FW,,Right,180cm,77kg,"August 3, 2000",Netherlands,Toulouse,"2,308",2026.0,,,,,,,,,,,,,,0.37,0.35,2.43,0.11,0.06,0.41,1.58,20.64,66.0,0.99,1.07,0.68,4.38,5.88,0.96,0.11,0.48,1.24,1.78,,,,,,,,,
Gabriel Suazo,DF-MF,"(DM-FB,",Left,180cm,69kg,"August 9, 1997",Chile,Toulouse,"11,538",2026,,,,,,,,,,,,,,0.06,0.07,0.47,0.12,0.11,0.17,2.88,54.85,78.3,4.65,1.89,1.31,2.24,6.08,2.5,0.9,1.4,1.37,0.58,,,,,,,,,
Cristian Cásseres Jr.,MF,(CM-DM),Right,174cm,73kg,"January 20, 2000",Venezuela,Toulouse,"8,654",2027.0,,,,,,,,,,,,,,0.04,0.04,0.59,0.08,0.06,0.11,1.51,43.72,80.9,3.66,0.67,0.5,0.92,1.89,3.49,1.47,1.6,1.85,0.84,,,,,,,,,
Aron Dønnum,FW-MF,(AM),Left,179cm,73kg,"April 20, 1998",Norway,Toulouse,"11,538",2024.0,,,,,,,,,,,,,,0.04,0.07,1.26,0.13,0.16,0.23,2.7,31.62,74.0,3.91,3.65,2.0,2.74,6.87,1.13,0.44,1.0,0.7,0.39,,,,,,,,,
Mikkel Desler,DF-MF,"(FB,",Right,187cm,72kg,"February 19, 1995",Denmark,Toulouse,"11,538",2024.0,,,,,,,,,,,,,,0.04,0.06,0.77,0.04,0.06,0.11,1.63,57.05,81.9,4.64,1.79,1.14,1.79,5.25,1.75,1.22,1.79,2.16,1.18,,,,,,,,,
Frank Magri,FW,,Right,178cm,74kg,"September 4, 1999",Cameroon,Toulouse,"9,615",2026.0,,,,,,,,,,,,,,0.28,0.16,2.37,0.11,0.09,0.25,2.04,20.75,67.3,1.98,2.09,0.85,4.18,7.8,1.64,0.28,1.13,1.07,2.15,,,,,,,,,
Niklas Schmidt,FW-MF,(AM),Right,184cm,74kg,"March 1, 1998",Germany,Toulouse,"10,962",2027.0,,,,,,,,,,,,,,0.11,0.08,1.45,0.0,0.14,0.21,3.46,55.11,78.6,6.97,1.5,1.06,0.84,2.84,2.51,0.45,0.95,1.0,0.33,,,,,,,,,
Moussa Diarra,DF,,Left,183cm,68kg,"November 10, 2000",Mali,Toulouse,"2,308",2024.0,,,,,,,,,,,,,,0.05,0.03,0.39,0.05,0.03,0.06,0.82,46.09,80.8,3.62,0.77,0.53,0.68,0.72,1.74,1.54,2.12,2.65,1.3,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,0.15,0.06,0.31,0.0,0.03,0.09,1.24,49.22,82.9,3.02,1.78,1.86,0.85,1.08,1.78,1.78,1.86,3.33,1.39,,,,,,,,,
Yann Gboho,FW-MF,,Right,176cm,69kg,"January 14, 2001",France,Toulouse,"7,692",2024.0,,,,,,,,,,,,,,0.17,0.08,1.65,0.17,0.13,0.21,3.3,19.55,73.4,3.38,4.95,2.31,5.28,7.18,1.32,0.41,1.81,0.17,0.58,,,,,,,,,
Zakaria Aboukhlal,FW-MF,,Left,179cm,72kg,"February 18, 2000",Morocco,Toulouse,"5,769",2026.0,,,,,,,,,,,,,,0.43,0.42,3.31,0.0,0.05,0.47,2.99,28.33,75.8,2.46,3.74,0.96,5.56,10.8,1.07,0.21,1.07,0.32,1.07,,,,,,,,,
Denis Genreau,MF,,Right,174cm,73kg,"May 21, 1999",Australia,Toulouse,"3,462",2025.0,,,,,,,,,,,,,,0.0,0.05,0.48,0.0,0.11,0.16,2.39,42.67,73.4,3.11,1.67,1.08,1.91,5.38,2.51,0.72,1.43,1.2,0.72,,,,,,,,,
Shavy Babicka,FW,,Right,180cm,74kg,"June 1, 2000",Gabon,Toulouse,"4,615",2027,,,,,,,,,,,,,,0.52,0.29,2.34,0.0,0.09,0.38,2.74,23.84,63.9,2.21,4.17,1.82,3.39,11.2,1.69,0.13,0.78,0.39,0.65,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naatan Skyttä,MF,,,Born:,May,National Team: Finland,Toulouse,"€ 2,308 Weekly Expires June 2025. Via Capology.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álex Domínguez,GK,,,Born:,July,Spain es,Toulouse,"€ 4,808 Weekly Expires June 2024. Via Capology.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
