Player,Role,Team,Birth,Value
Gianluigi Donnarumma,Goalkeeper,Paris Saint-Germain,"Feb 25, 1999",€40.00m
Arnau Tenas,Goalkeeper,Paris Saint-Germain,"May 30, 2001",€5.00m
Keylor Navas,Goalkeeper,Paris Saint-Germain,"Dec 15, 1986",€2.00m
Sergio Rico ,Goalkeeper,Paris Saint-Germain,"Sep 1, 1993",€2.00m
Alexandre Letellier,Goalkeeper,Paris Saint-Germain,"Dec 11, 1990",€300k
Marquinhos ,Centre-Back,Paris Saint-Germain,"May 14, 1994",€55.00m
Milan Skriniar,Centre-Back,Paris Saint-Germain,"Feb 11, 1995",€40.00m
Lucas Beraldo,Centre-Back,Paris Saint-Germain,"Nov 24, 2003",€20.00m
Presnel Kimpembe ,Centre-Back,Paris Saint-Germain,"Aug 13, 1995",€15.00m
Nuno Mendes,Left-Back,Paris Saint-Germain,"Jun 19, 2002",€60.00m
Lucas Hernández,Left-Back,Paris Saint-Germain,"Feb 14, 1996",€45.00m
Layvin Kurzawa,Left-Back,Paris Saint-Germain,"Sep 4, 1992",€2.50m
Achraf Hakimi,Right-Back,Paris Saint-Germain,"Nov 4, 1998",€65.00m
Nordi Mukiele,Right-Back,Paris Saint-Germain,"Nov 1, 1997",€10.00m
Yoram Zague,Right-Back,Paris Saint-Germain,"May 15, 2006",€500k
Manuel Ugarte,Defensive Midfield,Paris Saint-Germain,"Apr 11, 2001",€60.00m
Danilo Pereira,Defensive Midfield,Paris Saint-Germain,"Sep 9, 1991",€9.00m
Warren Zaïre-Emery,Central Midfield,Paris Saint-Germain,"Mar 8, 2006",€60.00m
Vitinha,Central Midfield,Paris Saint-Germain,"Feb 13, 2000",€45.00m
Fabián Ruiz,Central Midfield,Paris Saint-Germain,"Apr 3, 1996",€30.00m
Carlos Soler,Central Midfield,Paris Saint-Germain,"Jan 2, 1997",€20.00m
Ethan Mbappé,Central Midfield,Paris Saint-Germain,"Dec 29, 2006",€500k
Kang-in Lee,Attacking Midfield,Paris Saint-Germain,"Feb 19, 2001",€22.00m
Senny Mayulu,Attacking Midfield,Paris Saint-Germain,"May 17, 2006",€1.00m
Bradley Barcola,Left Winger,Paris Saint-Germain,"Sep 2, 2002",€40.00m
Ousmane Dembélé,Right Winger,Paris Saint-Germain,"May 15, 1997",€60.00m
Marco Asensio,Right Winger,Paris Saint-Germain,"Jan 21, 1996",€20.00m
Kylian Mbappé,Centre-Forward,Paris Saint-Germain,"Dec 20, 1998",€180.00m
Randal Kolo Muani,Centre-Forward,Paris Saint-Germain,"Dec 5, 1998",€60.00m
Gonçalo Ramos,Centre-Forward,Paris Saint-Germain,"Jun 20, 2001",€50.00m
Philipp Köhn,Goalkeeper,AS Monaco,"Apr 2, 1998",€7.00m
Radoslaw Majecki,Goalkeeper,AS Monaco,"Nov 16, 1999",€3.00m
Yann Lienard,Goalkeeper,AS Monaco,"Mar 16, 2003",€200k
Mohammed Salisu,Centre-Back,AS Monaco,"Apr 17, 1999",€15.00m
Guillermo Maripán,Centre-Back,AS Monaco,"May 6, 1994",€10.00m
Soungoutou Magassa,Centre-Back,AS Monaco,"Oct 8, 2003",€10.00m
Thilo Kehrer,Centre-Back,AS Monaco,"Sep 21, 1996",€9.00m
Caio Henrique ,Left-Back,AS Monaco,"Jul 31, 1997",€20.00m
Ismail Jakobs,Left-Back,AS Monaco,"Aug 17, 1999",€8.00m
Kassoum Ouattara,Left-Back,AS Monaco,"Oct 14, 2004",€6.00m
Vanderson,Right-Back,AS Monaco,"Jun 21, 2001",€20.00m
Wilfried Singo,Right-Back,AS Monaco,"Dec 25, 2000",€20.00m
Mohamed Camara,Defensive Midfield,AS Monaco,"Jan 6, 2000",€25.00m
Denis Zakaria,Defensive Midfield,AS Monaco,"Nov 20, 1996",€25.00m
Youssouf Fofana,Central Midfield,AS Monaco,"Jan 10, 1999",€28.00m
Edan Diop,Central Midfield,AS Monaco,"Aug 28, 2004",€2.00m
Aleksandr Golovin ,Attacking Midfield,AS Monaco,"May 30, 1996",€30.00m
Eliesse Ben Seghir,Attacking Midfield,AS Monaco,"Feb 16, 2005",€15.00m
Maghnes Akliouche,Attacking Midfield,AS Monaco,"Feb 25, 2002",€15.00m
Takumi Minamino,Left Winger,AS Monaco,"Jan 16, 1995",€15.00m
Krépin Diatta,Right Winger,AS Monaco,"Feb 25, 1999",€12.00m
Folarin Balogun,Centre-Forward,AS Monaco,"Jul 3, 2001",€30.00m
Breel Embolo,Centre-Forward,AS Monaco,"Feb 14, 1997",€12.00m
Wissam Ben Yedder ,Centre-Forward,AS Monaco,"Aug 12, 1990",€10.00m
Gauthier Gallon,Goalkeeper,Stade Rennais FC,"Apr 23, 1993",€1.50m
Steve Mandanda ,Goalkeeper,Stade Rennais FC,"Mar 28, 1985",€1.00m
Geoffrey Lembet,Goalkeeper,Stade Rennais FC,"Sep 23, 1988",€150k
Arthur Theate,Centre-Back,Stade Rennais FC,"May 25, 2000",€20.00m
