Player,Role,Position,Foot,Height,Weight,Birth,Nationality,Club,Wage,Expiration,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,6Seasons*,Non-PenaltyGoals,npxG:Non-PenaltyxG,ShotsTotal,Assists,xAG:Exp.AssistedGoals,npxG+xAG,Shot-CreatingActions,PassesAttempted,PassCompletion%,ProgressivePasses,ProgressiveCarries,SuccessfulTake-Ons,Touches(AttPen),ProgressivePassesRec,Tackles,Interceptions,Blocks,Clearances,AerialsWon,PSxG-GA,GoalsAgainst,SavePercentage,PSxG/SoT,Save%(PenaltyKicks),CleanSheetPercentage,Touches,Launch%,GoalKicks,Avg.LengthofGoalKicks,CrossesStopped%,Def.ActionsOutsidePen.Area,Avg.DistanceofDef.Actions,3Seasons*
Niklas Klinger,GK,,Right,186cm,82kg,"October 13, 1995",Germany,Wolfsburg,"5,769",2025.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diogo Leite,DF,"(CB,",Left,184cm,82kg,"January 23, 1999",Portugal,Union Berlin,"6,538",2024.0,,,,,,,0.0,0.03,0.45,0.0,0.01,0.04,0.81,52.34,80.2,3.85,0.61,0.22,0.84,0.28,1.81,1.48,1.65,4.69,2.32,,,,,,,,,,,,,,
Danilho Doekhi,DF,"(CB,",Right,190cm,84kg,"June 30, 1998",Netherlands,Union Berlin,"11,538",2025.0,,,,,,,0.11,0.05,0.72,0.0,0.01,0.06,1.15,38.2,81.1,2.19,0.14,0.07,1.26,0.32,1.47,1.4,1.69,4.34,2.22,,,,,,,,,,,,,,
Robin Knoche,DF,(CB),Right,190cm,77kg,"May 22, 1992",Germany,Union Berlin,"28,846",2024.0,,,,,,,0.0,0.01,0.19,0.08,0.02,0.03,0.78,55.51,82.5,3.92,0.39,0.16,0.66,0.12,1.59,0.93,1.16,3.41,1.71,,,,,,,,,,,,,,
Lucas Tousart,MF,(CM-DM),Right,185cm,83kg,"April 29, 1997",France,Union Berlin,"50,000",2024.0,,,,,,,0.09,0.12,1.39,0.09,0.09,0.2,1.3,27.51,70.4,2.47,0.85,0.72,2.61,1.84,2.2,1.57,1.84,2.11,1.84,,,,,,,,,,,,,,
Rani Khedira,DF-MF,(CM-DM),Right,185cm,78kg,"January 27, 1994",Germany,Union Berlin,"16,346",2024.0,,,,,,,0.05,0.02,0.34,0.0,0.03,0.05,0.82,32.85,75.8,1.94,0.48,0.19,0.48,0.92,2.08,1.02,1.02,1.89,1.16,,,,,,,,,,,,,,
Alex Král,MF,(DM),Right,186cm,79kg,"May 19, 1998",Czech,Union Berlin,"34,423",2024.0,,,,,,,0.04,0.09,1.19,0.04,0.04,0.13,1.89,33.1,73.6,3.69,1.27,0.7,1.19,2.41,1.32,0.66,0.88,1.8,1.23,,,,,,,,,,,,,,
Jérôme Roussillon,DF-MF,"(FB,",Left,175cm,79kg,"January 6, 1993",France,Union Berlin,"28,846",2024.0,,,,,,,0.0,0.03,0.71,0.13,0.1,0.13,2.21,40.43,73.7,3.5,1.56,0.78,0.84,3.89,2.08,0.45,1.17,2.79,0.97,,,,,,,,,,,,,,
Paul Jaeckel,DF,"(CB,",Right,188cm,79kg,"July 22, 1998",Germany,Union Berlin,"8,077",2024.0,,,,,,,0.0,0.0,0.0,0.0,0.02,0.02,0.65,48.87,86.5,4.35,0.65,0.65,0.32,1.13,1.61,1.77,1.45,3.06,1.77,,,,,,,,,,,,,,
Alexander Schwolow,GK,,Right,189cm,83kg,"June 2, 1992",Germany,Union Berlin,"17,308",2024.0,,,,,,,,,,,,,,,,,,,,,,,,,,-0.8,2.6,53.8,0.31,0.0,0.0,38.2,53.1,6.8,44.9,2.0,0.6,12.6,
Jakob Busk,GK,,Right,189cm,87kg,"September 12, 1993",Denmark,Union Berlin,"8,077",2024.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sepp van den Berg,DF-MF,"(CB,",Right,189cm,79kg,"December 20, 2001",Netherlands,Mainz 05,"10,385",2024.0,,,,,,,0.09,0.06,0.63,0.0,0.01,0.07,0.73,48.58,81.5,2.87,0.22,0.16,1.04,0.28,1.23,1.36,1.92,4.83,5.11,,,,,,,,,,,,,,
Robin Zentner,GK,,Right,194cm,96kg,"October 28, 1994",Germany,Mainz 05,"28,846",2025.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.86,62.1,0.38,0.0,20.7,38.48,42.7,5.97,43.7,10.9,1.69,16.2,
Anthony Caci,DF-MF,"(CB-FB,",Right,184cm,69kg,"July 1, 1997",France,Mainz 05,"32,308",2026.0,,,,,,,0.07,0.05,0.99,0.07,0.11,0.16,2.09,55.15,73.2,4.83,1.31,0.92,1.35,2.2,2.2,1.24,1.53,1.74,1.06,,,,,,,,,,,,,,
Dominik Kohr,MF,(CM-DM),Right,193cm,74kg,"January 31, 1994",Germany,Mainz 05,"34,615",2026.0,,,,,,,0.04,0.1,1.36,0.0,0.05,0.15,1.32,48.38,76.6,4.24,1.07,0.41,1.48,1.11,2.27,1.77,1.4,2.18,1.81,,,,,,,,,,,,,,
Phillipp Mwene,DF-MF,(FB),Right,170cm,68kg,"January 29, 1994",Austria,Mainz 05,"17,308",2026.0,,,,,,,0.05,0.06,1.09,0.1,0.09,0.15,2.63,43.98,70.3,3.37,2.43,0.69,1.39,4.36,1.34,0.79,1.24,2.03,0.74,,,,,,,,,,,,,,
Karim Onisiwo,FW-MF,,Right,188cm,76kg,"March 17, 1992",Austria,Mainz 05,"32,692",2026.0,,,,,,,0.1,0.23,1.96,0.14,0.1,0.32,2.91,20.71,59.0,1.53,1.67,1.29,4.87,6.78,0.95,0.05,1.05,0.38,1.72,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0.2,0.18,1.69,0.13,0.17,0.34,5.6,37.48,65.1,4.16,5.66,3.64,5.14,9.44,1.3,0.33,0.91,0.26,0.78,,,,,,,,,,,,,,
Ludovic Ajorque,FW,,Left,197cm,82kg,"February 25, 1994",France,Mainz 05,"41,538",2026.0,,,,,,,0.12,0.22,1.81,0.0,0.06,0.28,2.29,29.34,70.6,1.63,0.24,0.18,4.89,5.19,0.3,0.18,0.36,0.78,4.95,,,,,,,,,,,,,,
Jonathan Burkardt,FW-MF,,Right,181cm,76kg,"July 11, 2000",Germany,Mainz 05,"36,346",2027.0,,,,,,,0.38,0.27,2.37,0.15,0.13,0.4,1.91,22.9,65.0,1.91,2.21,1.22,4.27,5.65,0.76,0.23,0.84,0.15,0.69,,,,,,,,,,,,,,
Edimilson Fernandes,DF-MF,(CB),Right,190cm,69kg,"April 15, 1996",Switzerland,Mainz 05,"38,077",2026.0,,,,,,,0.0,0.03,1.03,0.17,0.05,0.09,2.46,54.72,76.7,3.2,0.69,0.63,0.29,0.69,1.72,1.72,0.74,3.49,1.26,,,,,,,,,,,,,,
Danny da Costa,DF-FW-MF,"(DM-FB,",Right,185cm,84kg,"July 13, 1993",Germany,Mainz 05,"18,462",2025.0,,,,,,,0.0,0.05,0.69,0.09,0.07,0.12,1.63,48.26,66.5,4.38,1.89,0.77,1.03,5.15,1.89,1.37,1.55,2.32,1.12,,,,,,,,,,,,,,
Andreas Hanche-Olsen,DF,"(CB,",Right,185cm,82kg,"January 17, 1997",Norway,Mainz 05,"23,077",2026.0,,,,,,,0.18,0.08,0.54,0.09,0.09,0.17,0.54,47.81,79.5,1.81,0.27,0.18,0.91,0.27,2.0,1.09,0.91,4.72,3.81,,,,,,,,,,,,,,
Marco Richter,FW-MF,(AM),Right,176cm,73kg,"November 24, 1997",Germany,Mainz 05,"15,385",2027.0,,,,,,,0.17,0.18,3.85,0.17,0.19,0.38,3.67,34.29,64.3,3.67,2.36,2.01,4.29,6.65,1.4,0.35,1.14,0.52,0.44,,,,,,,,,,,,,,
Josuha Guilavogui,DF-MF,(CM-DM),Right,188cm,83kg,"September 19, 1990",France,Mainz 05,"23,077",2024.0,,,,,,,0.0,0.03,0.33,0.11,0.01,0.04,0.89,59.45,88.6,3.76,0.33,0.11,0.89,0.22,2.1,2.55,1.55,4.21,2.1,,,,,,,,,,,,,,
Maxim Leitsch,DF,"(CB,",Left,186cm,79kg,"May 18, 1998",Germany,Mainz 05,"18,462",2026.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniel Batz,GK,,Right,189cm,83kg,"January 12, 1991",Germany,Mainz 05,"4,231",2025.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nelson Weiper,FW,,,192cm,81kg,"March 17, 2005",Germany,Mainz 05,"6,923",2025.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
