Player,Role,Team,Birth,Value
Manuel Neuer ,Goalkeeper,Bayern Munich,"Mar 27, 1986",€5.00m
Daniel Peretz,Goalkeeper,Bayern Munich,"Jul 10, 2000",€4.00m
Sven Ulreich,Goalkeeper,Bayern Munich,"Aug 3, 1988",€700k
Tom Hülsmann,Goalkeeper,Bayern Munich,"Apr 11, 2004",€250k
Matthijs de Ligt,Centre-Back,Bayern Munich,"Aug 12, 1999",€65.00m
Min-jae Kim,Centre-Back,Bayern Munich,"Nov 15, 1996",€55.00m
Dayot Upamecano,Centre-Back,Bayern Munich,"Oct 27, 1998",€50.00m
Eric Dier,Centre-Back,Bayern Munich,"Jan 15, 1994",€12.00m
Tarek Buchmann ,Centre-Back,Bayern Munich,"Feb 28, 2005",€500k
Alphonso Davies,Left-Back,Bayern Munich,"Nov 2, 2000",€60.00m
Raphaël Guerreiro,Left-Back,Bayern Munich,"Dec 22, 1993",€15.00m
Joshua Kimmich,Right-Back,Bayern Munich,"Feb 8, 1995",€60.00m
Noussair Mazraoui,Right-Back,Bayern Munich,"Nov 14, 1997",€30.00m
Sacha Boey ,Right-Back,Bayern Munich,"Sep 13, 2000",€22.00m
Bouna Sarr ,Right-Back,Bayern Munich,"Jan 31, 1992",€2.00m
Aleksandar Pavlovic,Defensive Midfield,Bayern Munich,"May 3, 2004",€25.00m
Leon Goretzka,Central Midfield,Bayern Munich,"Feb 6, 1995",€30.00m
Konrad Laimer,Central Midfield,Bayern Munich,"May 27, 1997",€28.00m
Jamal Musiala,Attacking Midfield,Bayern Munich,"Feb 26, 2003",€110.00m
Kingsley Coman ,Left Winger,Bayern Munich,"Jun 13, 1996",€65.00m
Mathys Tel,Left Winger,Bayern Munich,"Apr 27, 2005",€40.00m
Bryan Zaragoza,Left Winger,Bayern Munich,"Sep 9, 2001",€12.00m
Leroy Sané ,Right Winger,Bayern Munich,"Jan 11, 1996",€70.00m
Serge Gnabry ,Right Winger,Bayern Munich,"Jul 14, 1995",€45.00m
Thomas Müller,Second Striker,Bayern Munich,"Sep 13, 1989",€10.00m
Harry Kane,Centre-Forward,Bayern Munich,"Jul 28, 1993",€110.00m
Eric-Maxim Choupo-Moting,Centre-Forward,Bayern Munich,"Mar 23, 1989",€3.00m
Matej Kovar,Goalkeeper,Bayer 04 Leverkusen,"May 17, 2000",€5.00m
Lukas Hradecky ,Goalkeeper,Bayer 04 Leverkusen,"Nov 24, 1989",€2.50m
Niklas Lomb,Goalkeeper,Bayer 04 Leverkusen,"Jul 28, 1993",€250k
Edmond Tapsoba,Centre-Back,Bayer 04 Leverkusen,"Feb 2, 1999",€40.00m
Piero Hincapié,Centre-Back,Bayer 04 Leverkusen,"Jan 9, 2002",€35.00m
Odilon Kossounou,Centre-Back,Bayer 04 Leverkusen,"Jan 4, 2001",€35.00m
Jonathan Tah,Centre-Back,Bayer 04 Leverkusen,"Feb 11, 1996",€30.00m
Josip Stanisic,Centre-Back,Bayer 04 Leverkusen,"Apr 2, 2000",€18.00m
Madi Monamay,Centre-Back,Bayer 04 Leverkusen,"Apr 6, 2006",-
Alejandro Grimaldo,Left-Back,Bayer 04 Leverkusen,"Sep 20, 1995",€45.00m
Arthur,Right-Back,Bayer 04 Leverkusen,"Mar 17, 2003",€5.00m
Timothy Fosu-Mensah,Right-Back,Bayer 04 Leverkusen,"Jan 2, 1998",€1.50m
Granit Xhaka ,Defensive Midfield,Bayer 04 Leverkusen,"Sep 27, 1992",€20.00m
Robert Andrich,Defensive Midfield,Bayer 04 Leverkusen,"Sep 22, 1994",€11.00m
Noah Mbamba ,Defensive Midfield,Bayer 04 Leverkusen,"Jan 5, 2005",€3.00m
Exequiel Palacios,Central Midfield,Bayer 04 Leverkusen,"Oct 5, 1998",€40.00m
Gustavo Puerta,Central Midfield,Bayer 04 Leverkusen,"Jul 23, 2003",€2.00m
Jeremie Frimpong,Right Midfield,Bayer 04 Leverkusen,"Dec 10, 2000",€50.00m
Florian Wirtz,Attacking Midfield,Bayer 04 Leverkusen,"May 3, 2003",€110.00m
Jonas Hofmann,Attacking Midfield,Bayer 04 Leverkusen,"Jul 14, 1992",€13.00m
Ayman Aourir,Attacking Midfield,Bayer 04 Leverkusen,"Oct 6, 2004",€300k
Amine Adli,Left Winger,Bayer 04 Leverkusen,"May 10, 2000",€25.00m
Nathan Tella,Right Winger,Bayer 04 Leverkusen,"Jul 5, 1999",€23.00m
Victor Boniface,Centre-Forward,Bayer 04 Leverkusen,"Dec 23, 2000",€40.00m
Patrik Schick,Centre-Forward,Bayer 04 Leverkusen,"Jan 24, 1996",€22.00m
Adam Hlozek ,Centre-Forward,Bayer 04 Leverkusen,"Jul 25, 2002",€12.00m
Borja Iglesias ,Centre-Forward,Bayer 04 Leverkusen,"Jan 17, 1993",€6.00m
Péter Gulácsi,Goalkeeper,RB Leipzig,"May 6, 1990",€3.50m
Janis Blaswich,Goalkeeper,RB Leipzig,"May 2, 1991",€3.00m
Timo Schlieck,Goalkeeper,RB Leipzig,"Mar 2, 2006",€500k
Leopold Zingerle,Goalkeeper,RB Leipzig,"Apr 10, 1994",€400k
Castello Lukeba,Centre-Back,RB Leipzig,"Dec 17, 2002",€40.00m
Mohamed Simakan,Centre-Back,RB Leipzig,"May 3, 2000",€35.00m
El Chadaille Bitshiabu,Centre-Back,RB Leipzig,"May 16, 2005",€12.00m
Willi Orbán ,Centre-Back,RB Leipzig,"Nov 3, 1992",€10.00m
Lukas Klostermann,Centre-Back,RB Leipzig,"Jun 3, 1996",€8.00m
Tim Köhler,Centre-Back,RB Leipzig,"May 2, 2005",-
David Raum,Left-Back,RB Leipzig,"Apr 22, 1998",€17.00m
Christopher Lenz,Left-Back,RB Leipzig,"Sep 22, 1994",€2.00m
Benjamin Henrichs,Right-Back,RB Leipzig,"Feb 23, 1997",€20.00m
Xaver Schlager,Central Midfield,RB Leipzig,"Sep 28, 1997",€28.00m
Amadou Haidara,Central Midfield,RB Leipzig,"Jan 31, 1998",€17.00m
