Player,Role,Position,Foot,Height,Weight,Birth,Nationality,Club,Wage,Expiration,Non-PenaltyGoals,npxG:Non-PenaltyxG,ShotsTotal,Assists,xAG:Exp.AssistedGoals,npxG+xAG,Shot-CreatingActions,PassesAttempted,PassCompletion%,ProgressivePasses,ProgressiveCarries,SuccessfulTake-Ons,Touches(AttPen),ProgressivePassesRec,Tackles,Interceptions,Blocks,Clearances,AerialsWon,PSxG-GA,GoalsAgainst,SavePercentage,PSxG/SoT,Save%(PenaltyKicks),CleanSheetPercentage,Touches,Launch%,GoalKicks,Avg.LengthofGoalKicks,CrossesStopped%,Def.ActionsOutsidePen.Area,Avg.DistanceofDef.Actions,2023-2024,1Seasons*,2022-2023,2024-2025,2025-2026,2Seasons*,3Seasons*
Henrikh Mkhitaryan,FW-MF,(AM-CM),Right,178cm,72kg,"January 21, 1989",Armenia,Internazionale,"93,654",2026,0.08,0.13,1.39,0.21,0.13,0.26,3.51,51.77,86.1,5.95,2.88,0.76,2.05,3.75,2.05,1.02,0.89,1.42,0.5,,,,,,,,,,,,,,,,,,,,
Yann Sommer,GK,,Right,183cm,77kg,"December 17, 1988",Switzerland,Internazionale,"61,731",2026,,,,,,,,,,,,,,,,,,,,0.2,0.63,82.7,0.24,16.7,53.5,38.38,17.8,5.74,27.2,4.4,0.53,12.6,,,,,,,
Nicolò Barella,MF,(CM-DM),Right,172cm,68kg,"February 7, 1997",Italy,Internazionale,"178,077",2026,0.08,0.16,1.33,0.1,0.15,0.31,4.23,62.9,84.5,8.08,2.1,0.75,1.98,4.53,1.75,0.43,1.08,0.5,0.73,,,,,,,,,,,,,,,,,,,,
Marcus Thuram,FW-MF,(AM),Right,189cm,78kg,"August 6, 1997",France,Internazionale,"147,885",2028,0.39,0.49,2.6,0.24,0.15,0.64,2.88,21.44,71.9,1.67,2.45,1.33,5.84,6.42,0.79,0.15,0.82,0.67,2.33,,,,,,,,,,,,,,,,,,,,
Hakan Çalhanoğlu,FW-MF,(AM-CM),Right,176cm,73kg,"February 8, 1994",Turkey,Internazionale,"213,654",2027,0.08,0.07,1.76,0.11,0.18,0.26,3.95,75.58,86.8,6.0,1.53,0.29,0.76,1.47,2.13,0.79,0.97,0.79,0.79,,,,,,,,,,,,,,,,,,,,
Federico Dimarco,DF-MF,"(WM,",Left,175cm,74kg,"November 10, 1997",Italy,Internazionale,"124,615",2027,0.22,0.14,2.23,0.25,0.36,0.5,4.27,54.99,75.7,4.11,2.42,0.29,3.06,8.32,1.56,0.51,0.8,1.24,0.22,,,,,,,,,,,,,,,,,,,,
Alessandro Bastoni,DF,"(CB,",Left,190cm,83kg,"April 13, 1999",Italy,Internazionale,"195,962",2028,0.03,0.04,0.53,0.08,0.12,0.16,2.25,71.38,85.5,4.78,1.86,0.45,1.15,2.36,1.46,0.93,0.96,2.25,1.55,,,,,,,,,,,,,,,,,,,,
Francesco Acerbi,DF,(CB),Left,192cm,87kg,"February 10, 1988",Italy,Internazionale,"53,462",2025,0.08,0.06,0.55,0.08,0.06,0.11,0.77,62.74,89.5,2.96,0.82,0.18,0.87,0.79,0.9,1.24,0.84,3.3,2.48,,,,,,,,,,,,,,,,,,,,
Matteo Darmian,DF-MF,"(CB-FB-WM,",Right,182cm,69kg,"December 2, 1989",Italy,Internazionale,"61,731",2025,0.06,0.04,0.42,0.03,0.06,0.1,1.83,54.08,85.0,2.62,0.62,0.25,0.93,2.98,1.86,0.56,1.21,2.19,0.82,,,,,,,,,,,,,,,,,,,,
Benjamin Pavard,DF,"(CB-FB,",Right,182cm,64kg,"March 28, 1996",France,Internazionale,"123,269",2028,0.0,0.05,0.85,0.08,0.05,0.1,1.43,72.86,89.8,5.36,1.24,0.08,1.47,2.01,1.93,1.54,1.35,2.97,1.81,,,,,,,,,,,,,,,,,,,,
Stefan de Vrij,DF,(CB-FB),Right,189cm,78kg,"February 5, 1992",Netherlands,Internazionale,"135,385",2025,0.04,0.05,0.49,0.0,0.01,0.07,0.49,57.44,92.3,1.79,0.53,0.12,0.73,0.12,1.26,1.34,1.14,3.83,2.4,,,,,,,,,,,,,,,,,,,,
