Player,Role,Team,Birth,Value
Emil Audero,Goalkeeper,Inter Milan,"Jan 18, 1997",€6.00m
Yann Sommer,Goalkeeper,Inter Milan,"Dec 17, 1988",€5.00m
Raffaele Di Gennaro,Goalkeeper,Inter Milan,"Oct 3, 1993",€350k
Alessandro Bastoni,Centre-Back,Inter Milan,"Apr 13, 1999",€70.00m
Benjamin Pavard,Centre-Back,Inter Milan,"Mar 28, 1996",€50.00m
Yann Bisseck,Centre-Back,Inter Milan,"Nov 29, 2000",€15.00m
Stefan de Vrij,Centre-Back,Inter Milan,"Feb 5, 1992",€8.00m
Francesco Acerbi,Centre-Back,Inter Milan,"Feb 10, 1988",€4.00m
Federico Dimarco,Left-Back,Inter Milan,"Nov 10, 1997",€50.00m
Matteo Darmian,Right-Back,Inter Milan,"Dec 2, 1989",€4.00m
Hakan Çalhanoğlu,Defensive Midfield,Inter Milan,"Feb 8, 1994",€40.00m
Kristjan Asllani,Defensive Midfield,Inter Milan,"Mar 9, 2002",€16.00m
Nicolò Barella,Central Midfield,Inter Milan,"Feb 7, 1997",€75.00m
Davide Frattesi,Central Midfield,Inter Milan,"Sep 22, 1999",€30.00m
Henrikh Mkhitaryan,Central Midfield,Inter Milan,"Jan 21, 1989",€6.00m
Davy Klaassen,Central Midfield,Inter Milan,"Feb 21, 1993",€5.00m
Stefano Sensi,Central Midfield,Inter Milan,"Aug 5, 1995",€4.00m
Denzel Dumfries ,Right Midfield,Inter Milan,"Apr 18, 1996",€27.00m
Tajon Buchanan,Right Midfield,Inter Milan,"Feb 8, 1999",€8.00m
Juan Cuadrado ,Right Midfield,Inter Milan,"May 26, 1988",€1.50m
Carlos Augusto,Left Midfield,Inter Milan,"Jan 7, 1999",€20.00m
Lautaro Martinez,Centre-Forward,Inter Milan,"Aug 22, 1997",€110.00m
Marcus Thuram,Centre-Forward,Inter Milan,"Aug 6, 1997",€60.00m
Marko Arnautovic,Centre-Forward,Inter Milan,"Apr 19, 1989",€5.00m
Alexis Sánchez,Centre-Forward,Inter Milan,"Dec 19, 1988",€2.50m
Mike Maignan,Goalkeeper,AC Milan,"Jul 3, 1995",€40.00m
Marco Sportiello,Goalkeeper,AC Milan,"May 10, 1992",€1.50m
Lapo Nava,Goalkeeper,AC Milan,"Jan 22, 2004",€150k
Antonio Mirante,Goalkeeper,AC Milan,"Jul 8, 1983",€100k
Fikayo Tomori ,Centre-Back,AC Milan,"Dec 19, 1997",€40.00m
Malick Thiaw,Centre-Back,AC Milan,"Aug 8, 2001",€30.00m
Pierre Kalulu ,Centre-Back,AC Milan,"Jun 5, 2000",€25.00m
Matteo Gabbia,Centre-Back,AC Milan,"Oct 21, 1999",€6.00m
Simon Kjaer,Centre-Back,AC Milan,"Mar 26, 1989",€2.00m
Mattia Caldara,Centre-Back,AC Milan,"May 5, 1994",€1.20m
Theo Hernández ,Left-Back,AC Milan,"Oct 6, 1997",€60.00m
Davide Calabria  ,Right-Back,AC Milan,"Dec 6, 1996",€15.00m
Filippo Terracciano,Right-Back,AC Milan,"Feb 8, 2003",€4.50m
Alessandro Florenzi,Right-Back,AC Milan,"Mar 11, 1991",€2.00m
Ismaël Bennacer,Defensive Midfield,AC Milan,"Dec 1, 1997",€35.00m
Yacine Adli,Defensive Midfield,AC Milan,"Jul 29, 2000",€15.00m
Ruben Loftus-Cheek,Central Midfield,AC Milan,"Jan 23, 1996",€25.00m
Tijjani Reijnders,Central Midfield,AC Milan,"Jul 29, 1998",€23.00m
Yunus Musah,Central Midfield,AC Milan,"Nov 29, 2002",€23.00m
Tommaso Pobega,Central Midfield,AC Milan,"Jul 15, 1999",€12.00m
Rafael Leão,Left Winger,AC Milan,"Jun 10, 1999",€90.00m
Christian Pulisic,Right Winger,AC Milan,"Sep 18, 1998",€32.00m
Samuel Chukwueze,Right Winger,AC Milan,"May 22, 1999",€20.00m
Noah Okafor,Centre-Forward,AC Milan,"May 24, 2000",€20.00m
Luka Jović,Centre-Forward,AC Milan,"Dec 23, 1997",€7.00m
Olivier Giroud,Centre-Forward,AC Milan,"Sep 30, 1986",€4.00m
Alex Meret,Goalkeeper,SSC Napoli,"Mar 22, 1997",€15.00m
Pierluigi Gollini,Goalkeeper,SSC Napoli,"Mar 18, 1995",€4.50m
Nikita Contini,Goalkeeper,SSC Napoli,"May 21, 1996",€500k
Hubert Idasiak,Goalkeeper,SSC Napoli,"Feb 3, 2002",€150k
Amir Rrahmani,Centre-Back,SSC Napoli,"Feb 24, 1994",€20.00m
Natan,Centre-Back,SSC Napoli,"Feb 6, 2001",€13.00m
Leo Østigård,Centre-Back,SSC Napoli,"Nov 28, 1999",€8.00m
Juan Jesus,Centre-Back,SSC Napoli,"Jun 10, 1991",€3.00m
Mathías Olivera ,Left-Back,SSC Napoli,"Oct 31, 1997",€17.00m
Mário Rui,Left-Back,SSC Napoli,"May 27, 1991",€4.00m
Giovanni Di Lorenzo ,Right-Back,SSC Napoli,"Aug 4, 1993",€18.00m
Pasquale Mazzocchi,Right-Back,SSC Napoli,"Jul 27, 1995",€4.00m
Stanislav Lobotka,Defensive Midfield,SSC Napoli,"Nov 25, 1994",€30.00m
Leander Dendoncker,Defensive Midfield,SSC Napoli,"Apr 15, 1995",€9.00m
Diego Demme,Defensive Midfield,SSC Napoli,"Nov 21, 1991",€1.00m
Frank Anguissa,Central Midfield,SSC Napoli,"Nov 16, 1995",€30.00m
Piotr Zieliński,Central Midfield,SSC Napoli,"May 20, 1994",€25.00m
Jens Cajuste,Central Midfield,SSC Napoli,"Aug 10, 1999",€10.00m
Jesper Lindstrøm,Attacking Midfield,SSC Napoli,"Feb 29, 2000",€25.00m
Hamed Junior Traorè,Attacking Midfield,SSC Napoli,"Feb 16, 2000",€18.00m
Khvicha Kvaratskhelia,Left Winger,SSC Napoli,"Feb 12, 2001",€80.00m
Matteo Politano,Right Winger,SSC Napoli,"Aug 3, 1993",€15.00m
Cyril Ngonge,Right Winger,SSC Napoli,"May 26, 2000",€12.00m
Giacomo Raspadori,Second Striker,SSC Napoli,"Feb 18, 2000",€28.00m
Victor Osimhen,Centre-Forward,SSC Napoli,"Dec 29, 1998",€110.00m
Giovanni Simeone,Centre-Forward,SSC Napoli,"Jul 5, 1995",€13.00m
Wojciech Szczęsny,Goalkeeper,Juventus FC,"Apr 18, 1990",€8.00m
Mattia Perin,Goalkeeper,Juventus FC,"Nov 10, 1992",€3.00m
Carlo Pinsoglio,Goalkeeper,Juventus FC,"Mar 16, 1990",€200k
Bremer,Centre-Back,Juventus FC,"Mar 18, 1997",€60.00m
Federico Gatti,Centre-Back,Juventus FC,"Jun 24, 1998",€18.00m
Tiago Djaló,Centre-Back,Juventus FC,"Apr 9, 2000",€15.00m
Danilo,Centre-Back,Juventus FC,"Jul 15, 1991",€12.00m
Daniele Rugani,Centre-Back,Juventus FC,"Jul 29, 1994",€4.00m
Andrea Cambiaso,Left-Back,Juventus FC,"Feb 20, 2000",€25.00m
Alex Sandro,Left-Back,Juventus FC,"Jan 26, 1991",€2.00m
Mattia De Sciglio ,Right-Back,Juventus FC,"Oct 20, 1992",€2.00m
Manuel Locatelli,Defensive Midfield,Juventus FC,"Jan 8, 1998",€33.00m
Adrien Rabiot,Central Midfield,Juventus FC,"Apr 3, 1995",€40.00m
Weston McKennie,Central Midfield,Juventus FC,"Aug 28, 1998",€25.00m
Fabio Miretti,Central Midfield,Juventus FC,"Aug 3, 2003",€15.00m
Nicolò Fagioli ,Central Midfield,Juventus FC,"Feb 12, 2001",€15.00m
Carlos Alcaraz,Central Midfield,Juventus FC,"Nov 30, 2002",€15.00m
Hans Nicolussi Caviglia,Central Midfield,Juventus FC,"Jun 18, 2000",€3.00m
Paul Pogba ,Central Midfield,Juventus FC,"Mar 15, 1993",-
Timothy Weah,Right Midfield,Juventus FC,"Feb 22, 2000",€14.00m
Filip Kostić,Left Midfield,Juventus FC,"Nov 1, 1992",€9.00m
Federico Chiesa,Left Winger,Juventus FC,"Oct 25, 1997",€40.00m
Samuel Iling-Junior,Left Winger,Juventus FC,"Oct 4, 2003",€12.00m
Kenan Yıldız,Second Striker,Juventus FC,"May 4, 2005",€30.00m
Dušan Vlahović,Centre-Forward,Juventus FC,"Jan 28, 2000",€65.00m
Moise Kean ,Centre-Forward,Juventus FC,"Feb 28, 2000",€18.00m
Arkadiusz Milik,Centre-Forward,Juventus FC,"Feb 28, 1994",€7.00m
Marco Carnesecchi,Goalkeeper,Atalanta BC,"Jul 1, 2000",€15.00m
Juan Musso,Goalkeeper,Atalanta BC,"May 6, 1994",€6.50m
Francesco Rossi,Goalkeeper,Atalanta BC,"Apr 27, 1991",€100k
Giorgio Scalvini,Centre-Back,Atalanta BC,"Dec 11, 2003",€45.00m
Berat Djimsiti,Centre-Back,Atalanta BC,"Feb 19, 1993",€10.00m
Isak Hien,Centre-Back,Atalanta BC,"Jan 13, 1999",€9.00m
Sead Kolasinac,Centre-Back,Atalanta BC,"Jun 20, 1993",€8.00m
Rafael Tolói  ,Centre-Back,Atalanta BC,"Oct 10, 1990",€4.00m
José Luis Palomino,Centre-Back,Atalanta BC,"Jan 5, 1990",€1.00m
