Player,Role,Position,Foot,Height,Weight,Birth,Nationality,Club,Wage,Expiration,Non-PenaltyGoals,npxG:Non-PenaltyxG,ShotsTotal,Assists,xAG:Exp.AssistedGoals,npxG+xAG,Shot-CreatingActions,PassesAttempted,PassCompletion%,ProgressivePasses,ProgressiveCarries,SuccessfulTake-Ons,Touches(AttPen),ProgressivePassesRec,Tackles,Interceptions,Blocks,Clearances,AerialsWon,PSxG-GA,GoalsAgainst,SavePercentage,PSxG/SoT,Save%(PenaltyKicks),CleanSheetPercentage,Touches,Launch%,GoalKicks,Avg.LengthofGoalKicks,CrossesStopped%,Def.ActionsOutsidePen.Area,Avg.DistanceofDef.Actions
Sergio Ramos,DF,(CB-FB),Right,183cm,74kg,"March 30, 1986",Spain,Sevilla,"44,038",2024,0.15,0.1,1.15,0.03,0.01,0.11,0.76,62.37,89.1,3.52,0.39,0.18,1.4,0.21,1.3,1.27,1.33,4.7,3.06,,,,,,,,,,,,,
Boubakary Soumaré,MF,(CM-DM),Right,188cm,82kg,"February 27, 1999",France,Sevilla,"93,269",2024,0.0,0.0,0.03,0.0,0.02,0.02,1.19,49.54,88.7,4.05,0.98,0.77,0.21,1.01,1.61,1.12,0.94,0.87,0.91,,,,,,,,,,,,,
Nemanja Gudelj,DF-MF,(CB-CM-DM),Right,187cm,73kg,"November 16, 1991",Serbia,Sevilla,"78,846",2026,0.09,0.04,0.94,0.06,0.02,0.06,1.03,51.27,86.3,3.44,1.03,0.2,0.49,0.17,1.77,1.26,0.77,2.98,1.86,,,,,,,,,,,,,
Ørjan Nyland,GK,,Right,192cm,78kg,"September 10, 1990",Norway,Sevilla,"11,538",2025,,,,,,,,,,,,,,,,,,,,0.15,1.14,75.9,0.26,0.0,23.8,36.33,49.7,8.24,54.3,4.3,0.67,13.9
Óliver Torres,MF,(AM-CM-WM),Right,178cm,69kg,"November 10, 1994",Spain,Sevilla,"44,231",2024,0.0,0.05,0.49,0.04,0.11,0.16,3.49,49.66,80.0,5.64,2.31,0.77,1.62,6.36,1.86,0.28,2.07,0.32,0.61,,,,,,,,,,,,,
Adrià Pedrosa,DF,"(FB,",Left,172cm,68kg,"May 13, 1998",Spain,Sevilla,"21,154",2028,0.04,0.03,0.65,0.17,0.13,0.15,2.27,44.91,73.0,2.96,2.05,0.65,1.09,6.1,2.09,0.87,1.05,2.57,0.48,,,,,,,,,,,,,
Kike Salas,DF,,Left,186cm,79kg,"April 23, 2002",Spain,Sevilla,"6,923",2026,0.13,0.05,0.87,0.0,0.02,0.06,0.94,57.48,77.4,3.68,0.74,0.07,1.87,1.2,2.34,1.54,1.2,5.09,3.61,,,,,,,,,,,,,
Suso,FW-MF,"(AM,",Left,176cm,69kg,"November 19, 1993",Spain,Sevilla,"53,846",2025,0.1,0.1,2.07,0.26,0.24,0.34,5.64,54.05,76.7,6.57,2.74,1.66,1.6,7.34,1.55,0.26,0.47,0.26,0.41,,,,,,,,,,,,,
Marcos Acuña,DF-MF,"(FB,",Left,172cm,73kg,"October 28, 1991",Argentina,Sevilla,"55,769",2025,0.0,0.04,0.78,0.16,0.15,0.19,3.28,57.49,74.0,4.06,2.24,1.4,0.83,3.64,1.92,0.52,0.78,1.61,0.94,,,,,,,,,,,,,
Juanlu Sánchez,DF-MF,,Right,186cm,68kg,"August 15, 2003",Spain,Sevilla,"4,808",2026,0.0,0.03,0.66,0.2,0.09,0.12,2.26,53.71,78.1,3.66,3.06,1.73,1.26,7.38,4.45,0.86,1.99,2.66,1.13,,,,,,,,,,,,,
Joan Jordán,MF,(CM-DM-WM),Right,184cm,73kg,"July 6, 1994",Spain,Sevilla,"69,231",2027,0.0,0.04,1.14,0.0,0.0,0.04,1.9,52.41,85.1,6.46,0.0,0.19,0.57,0.38,2.47,0.76,0.95,0.38,0.95,,,,,,,,,,,,,
Rafa Mir,FW,,Right,189cm,74kg,"June 18, 1997",Spain,Sevilla,"36,538",2027,0.43,0.4,2.99,0.0,0.05,0.45,2.14,19.24,64.4,0.64,0.53,0.21,4.49,3.21,0.32,0.32,0.53,0.32,3.53,,,,,,,,,,,,,
Marcão,DF,"(CB,",Left,185cm,77kg,"June 5, 1996",Brazil,Sevilla,"84,231",2027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tanguy Nianzou,DF,,Right,187cm,78kg,"June 7, 2002",France,Sevilla,"80,192",2027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adnan Januzaj,FW-MF,"(AM-WM,",Left,182cm,74kg,"February 5, 1995",Belgium,Sevilla,"61,538",2026,0.49,0.48,2.94,0.0,0.05,0.53,2.55,17.04,63.8,1.27,0.49,0.1,4.11,4.41,0.39,0.2,0.59,1.86,4.9,,,,,,,,,,,,,
Adnan Januzaj,FW-MF,"(AM-WM,",Left,182cm,74kg,"February 5, 1995",Belgium,Sevilla,"61,538",2026,0.49,0.48,2.94,0.0,0.05,0.53,2.55,17.04,63.8,1.27,0.49,0.1,4.11,4.41,0.39,0.2,0.59,1.86,4.9,,,,,,,,,,,,,
Munir El Haddadi,FW-MF,,Left,173cm,68kg,"September 1, 1995",Morocco,Las Palmas,"33,654",2024,0.15,0.15,1.6,0.07,0.09,0.24,2.38,27.43,76.0,2.89,0.93,0.82,2.52,6.2,1.34,0.37,0.96,0.63,0.74,,,,,,,,,,,,,
Sergi Cardona,DF,"(FB,",Left,Born:,July,Spain es,Las,"€ 3,269 Weekly Expires June 2024. Via Capology.",,,0.04,0.09,0.84,0.07,0.08,0.17,2.38,69.29,80.2,5.18,1.96,0.56,2.17,5.25,2.94,1.47,1.29,3.36,1.71,,,,,,,,,,,,,
Saúl Coco,DF,"(CB,",,Born:,February,Team: Equatorial Guinea,Las,"€ 3,269 Weekly Expires June 2025. Via Capology.",,,0.05,0.05,0.92,0.0,0.0,0.05,0.26,56.51,88.6,2.92,0.36,0.15,0.51,0.05,1.08,0.77,1.13,4.87,2.41,,,,,,,,,,,,,
Máximo Perrone,MF,,Left,178cm,63kg,"January 7, 2003",Argentina,Las Palmas,"35,385",2024,0.0,0.01,0.36,0.0,0.01,0.02,1.58,74.76,90.5,4.13,0.67,0.61,0.49,1.28,2.49,1.46,1.4,1.21,0.36,,,,,,,,,,,,,
Sandro Ramírez,FW,,Right,175cm,71kg,"July 9, 1995",Spain,Las Palmas,"28,654",2026,0.06,0.13,2.7,0.18,0.15,0.28,3.99,35.09,75.3,2.7,3.25,0.98,3.8,10.61,0.74,0.18,0.74,0.55,0.31,,,,,,,,,,,,,
Enzo Loiodice,MF,(CM),Left,176cm,59kg,"November 27, 2000",France,Las Palmas,"5,769",2025,0.0,0.03,0.87,0.0,0.04,0.07,2.09,57.45,82.6,4.87,1.22,1.51,1.33,3.66,3.08,0.64,1.04,0.75,1.45,,,,,,,,,,,,,
Alberto Moleiro,FW-MF,,,Born:,September,National Team: Spain,Las,"€ 3,654 Weekly Expires June 2026. Via Capology.",,,0.14,0.05,1.37,0.21,0.12,0.16,2.94,37.64,78.0,3.76,4.31,2.87,2.74,9.65,0.75,0.41,0.62,0.68,0.07,,,,,,,,,,,,,
