Player,Role,Team,Birth,Value
Thibaut Courtois ,Goalkeeper,Real Madrid,"May 11, 1992",€30.00m
Andriy Lunin,Goalkeeper,Real Madrid,"Feb 11, 1999",€16.00m
Kepa Arrizabalaga,Goalkeeper,Real Madrid,"Oct 3, 1994",€12.00m
Éder Militão,Centre-Back,Real Madrid,"Jan 18, 1998",€70.00m
David Alaba ,Centre-Back,Real Madrid,"Jun 24, 1992",€25.00m
Antonio Rüdiger,Centre-Back,Real Madrid,"Mar 3, 1993",€25.00m
Nacho Fernández ,Centre-Back,Real Madrid,"Jan 18, 1990",€4.00m
Ferland Mendy,Left-Back,Real Madrid,"Jun 8, 1995",€20.00m
Fran García,Left-Back,Real Madrid,"Aug 14, 1999",€15.00m
Daniel Carvajal ,Right-Back,Real Madrid,"Jan 11, 1992",€12.00m
Lucas Vázquez,Right-Back,Real Madrid,"Jul 1, 1991",€5.00m
Aurélien Tchouaméni,Defensive Midfield,Real Madrid,"Jan 27, 2000",€90.00m
Federico Valverde,Central Midfield,Real Madrid,"Jul 22, 1998",€100.00m
Eduardo Camavinga,Central Midfield,Real Madrid,"Nov 10, 2002",€90.00m
Toni Kroos,Central Midfield,Real Madrid,"Jan 4, 1990",€12.00m
Luka Modric,Central Midfield,Real Madrid,"Sep 9, 1985",€8.00m
Dani Ceballos,Central Midfield,Real Madrid,"Aug 7, 1996",€8.00m
Jude Bellingham,Attacking Midfield,Real Madrid,"Jun 29, 2003",€180.00m
Brahim Díaz,Attacking Midfield,Real Madrid,"Aug 3, 1999",€35.00m
Arda Güler,Attacking Midfield,Real Madrid,"Feb 25, 2005",€15.00m
Nico Paz,Attacking Midfield,Real Madrid,"Sep 8, 2004",€10.00m
Vinicius Junior,Left Winger,Real Madrid,"Jul 12, 2000",€150.00m
Rodrygo,Right Winger,Real Madrid,"Jan 9, 2001",€100.00m
Joselu,Centre-Forward,Real Madrid,"Mar 27, 1990",€5.00m
Marc-André ter Stegen,Goalkeeper,FC Barcelona,"Apr 30, 1992",€30.00m
Iñaki Peña,Goalkeeper,FC Barcelona,"Mar 2, 1999",€8.00m
Ander Astralaga,Goalkeeper,FC Barcelona,"Mar 3, 2004",€500k
Ronald Araujo,Centre-Back,FC Barcelona,"Mar 7, 1999",€70.00m
Jules Koundé,Centre-Back,FC Barcelona,"Nov 12, 1998",€50.00m
Andreas Christensen,Centre-Back,FC Barcelona,"Apr 10, 1996",€40.00m
Pau Cubarsí,Centre-Back,FC Barcelona,"Jan 22, 2007",€25.00m
Iñigo Martínez,Centre-Back,FC Barcelona,"May 17, 1991",€6.00m
Alejandro Balde ,Left-Back,FC Barcelona,"Oct 18, 2003",€40.00m
Marcos Alonso,Left-Back,FC Barcelona,"Dec 28, 1990",€3.00m
João Cancelo,Right-Back,FC Barcelona,"May 27, 1994",€30.00m
Héctor Fort,Right-Back,FC Barcelona,"Aug 2, 2006",€7.50m
Oriol Romeu,Defensive Midfield,FC Barcelona,"Sep 24, 1991",€3.00m
Gavi ,Central Midfield,FC Barcelona,"Aug 5, 2004",€90.00m
Pedri,Central Midfield,FC Barcelona,"Nov 25, 2002",€80.00m
Frenkie de Jong ,Central Midfield,FC Barcelona,"May 12, 1997",€70.00m
İlkay Gündoğan,Central Midfield,FC Barcelona,"Oct 24, 1990",€16.00m
Fermín López,Central Midfield,FC Barcelona,"May 11, 2003",€15.00m
Sergi Roberto ,Central Midfield,FC Barcelona,"Feb 7, 1992",€3.00m
Ferran Torres,Left Winger,FC Barcelona,"Feb 29, 2000",€35.00m
João Félix,Left Winger,FC Barcelona,"Nov 10, 1999",€30.00m
Lamine Yamal,Right Winger,FC Barcelona,"Jul 13, 2007",€75.00m
Raphinha,Right Winger,FC Barcelona,"Dec 14, 1996",€50.00m
Vitor Roque,Centre-Forward,FC Barcelona,"Feb 28, 2005",€40.00m
Robert Lewandowski,Centre-Forward,FC Barcelona,"Aug 21, 1988",€15.00m
Marc Guiu,Centre-Forward,FC Barcelona,"Jan 4, 2006",€7.50m
Álex Remiro,Goalkeeper,Real Sociedad,"Mar 24, 1995",€25.00m
Unai Marrero,Goalkeeper,Real Sociedad,"Oct 9, 2001",€300k
Robin Le Normand,Centre-Back,Real Sociedad,"Nov 11, 1996",€40.00m
Igor Zubeldia,Centre-Back,Real Sociedad,"Mar 30, 1997",€22.00m
Aritz Elustondo,Centre-Back,Real Sociedad,"Mar 28, 1994",€9.00m
