Player,Foot,Height,Weight,Nationality,Club,Wage,Expiration,PSxG-GA,GoalsAgainst,SavePercentage,PSxG/SoT,Save%(PenaltyKicks),CleanSheetPercentage,Touches,Launch%,GoalKicks,Avg.LengthofGoalKicks,CrossesStopped%,Def.ActionsOutsidePen.Area,Avg.DistanceofDef.Actions,Role,Birth,Value,League,Age
David Raya,Right,186.0,81.0,Spain,Arsenal,5.17,2024,-0.02,0.72,73.1,0.25,33.3,48.8,34.96,35.3,3.63,45.8,12.3,1.53,17.6,Goalkeeper,1995-09-15,35.0,English Premier League,28
Aaron Ramsdale,Right,195.0,79.0,England,Arsenal,7.3,2026,-0.23,1.15,66.7,0.27,0.0,30.8,34.54,34.4,3.85,48.3,14.2,0.92,12.7,Goalkeeper,1998-05-14,25.0,English Premier League,25
Alisson,Right,193.0,91.0,Brazil,Liverpool,9.13,2027,0.05,0.84,76.0,0.25,0.0,38.7,46.16,16.1,4.42,35.9,4.8,1.94,18.7,Goalkeeper,1992-10-02,32.0,English Premier League,31
Caoimhín Kelleher,Right,188.0,81.0,Ireland,Liverpool,0.61,2026,-0.01,1.42,66.7,0.31,0.0,15.8,46.0,21.7,3.16,31.6,8.0,1.26,15.3,Goalkeeper,1998-11-23,18.0,English Premier League,25
Ederson,Left,188.0,88.0,Brazil,Manchester City,6.08,2026,0.0,0.89,69.1,0.31,0.0,29.3,39.17,18.7,3.6,36.8,8.1,1.13,16.5,Goalkeeper,1993-08-17,40.0,English Premier League,30
Stefan Ortega,Right,186.0,87.0,Germany,Manchester City,3.35,2025,0.21,1.24,72.0,0.31,0.0,30.0,50.84,18.9,3.54,35.8,6.3,2.12,18.5,Goalkeeper,1992-11-06,9.0,English Premier League,31
Guglielmo Vicario,Right,194.0,87.0,Italy,Tottenham Hotspur,4.56,2028,0.1,1.46,71.0,0.31,0.0,15.8,44.32,20.0,5.55,25.8,6.1,1.82,16.2,Goalkeeper,1996-10-07,35.0,English Premier League,27
Martin Dúbravka,Right,190.0,83.0,Slovakia,Newcastle United,2.43,2025,0.14,1.94,69.4,0.32,20.0,26.3,32.8,17.8,7.61,38.9,6.8,0.73,11.4,Goalkeeper,1989-01-15,1.0,English Premier League,35
André Onana,Right,185.0,82.0,Cameroon,Manchester United,7.3,2028,0.04,1.56,73.0,0.27,11.1,26.7,43.16,31.8,4.49,42.4,5.8,0.73,12.3,Goalkeeper,1996-04-02,40.0,English Premier League,28
Dean Henderson,Right,188.0,73.0,England,Crystal Palace,6.08,2028,-0.23,2.15,61.4,0.33,0.0,7.7,30.62,45.4,6.38,51.0,1.6,1.31,15.0,Goalkeeper,1997-03-12,12.0,English Premier League,27
Alphonse Areola,Right,192.0,87.0,France,West Ham United,7.3,2027,0.12,1.63,75.3,0.25,33.3,16.0,32.38,43.5,7.6,45.5,5.5,0.3,9.7,Goalkeeper,1993-02-27,10.0,English Premier League,31
Bart Verbruggen,Right,193.0,82.0,Netherlands,Brighton & Hove Albion,2.13,2028,0.0,1.1,76.3,0.24,0.0,30.0,43.25,16.5,3.75,17.7,8.3,0.85,13.6,Goalkeeper,2002-08-18,15.0,English Premier League,21
Jason Steele,Right,190.0,78.0,England,Brighton & Hove Albion,1.22,2026,-0.16,1.83,58.8,0.34,20.0,24.1,40.62,17.0,3.59,17.5,4.0,2.1,19.1,Goalkeeper,1990-08-18,3.5,English Premier League,33
José Sá,Right,192.0,86.0,Portugal,Wolverhampton Wanderers,2.43,2027,0.09,1.78,69.0,0.32,0.0,18.2,33.96,32.8,7.32,43.1,8.8,0.77,12.4,Goalkeeper,1993-01-17,16.0,English Premier League,31
